title,link,remote_testing,adaptive_irt,test_type,details
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,Yes,Yes,"C, P, A, B","The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.
Mid-Professional,
English (USA),
Approximate Completion Time in minutes = 49
Test Type:CPAB
Remote Testing:
Product Flyer (USE)
English (USA)
Speak to our team today to see how our products transform talent strategy.
Book a Demo"
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Yes,Yes,"A, K, P","The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.
Entry-Level,
English (USA),
Approximate Completion Time in minutes = 36
Test Type:AKP
Remote Testing:
Product Fact Sheet
English (USA)
Speak to our team today to see how our products transform talent strategy.
Book a Demo"
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,Yes,Yes,"A, B, P, S","The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.
Front Line Manager, Manager, Supervisor,
English (USA),
Approximate Completion Time in minutes = 51
Test Type:ABPS
Remote Testing:
Product fact sheet
English (USA)
Speak to our team today to see how our products transform talent strategy.
Book a Demo"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Yes,No,"B, P","The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.
General Population, Graduate, Entry-Level,
English International, German,
Approximate Completion Time in minutes = 30
Test Type:BP
Remote Testing:
Detailed Report
English International
Candidate Report
English International
Interview Report
English International
Fact Sheet
English International
Candidate Report
German
Interview Report
German
Detailed Report
German
Speak to our team today to see how our products transform talent strategy.
Book a Demo"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Yes,No,"B, P","The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.
Entry-Level, General Population, Graduate,
English International, German, French,
Approximate Completion Time in minutes = 20
Test Type:BP
Remote Testing:
Fact Sheet
English International
Candidate Report
English International
Detailed Report
English International
Interview Report
English International
Candidate Report
German
Detailed Report
German
Interview Report
German
Speak to our team today to see how our products transform talent strategy.
Book a Demo"
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Yes,No,"A, B, K, P","The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.
Entry-Level,
English (USA),
Approximate Completion Time in minutes = 35
Test Type:ABKP
Remote Testing:
Product Fact Sheet
English International
Speak to our team today to see how our products transform talent strategy.
Book a Demo"
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,Yes,No,"A, B, P","This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.
Entry-Level,
English (USA),
Approximate Completion Time in minutes = 45
Test Type:ABP
Remote Testing:
Fact Sheet Bank Collections Agent One Sitting
English (USA)
Speak to our team today to see how our products transform talent strategy.
Book a Demo"
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,Yes,Yes,"A, B, P, S","The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.
Front Line Manager, Manager, Supervisor,
English (USA),
Approximate Completion Time in minutes = 45
Test Type:ABPS
Remote Testing:
Product Fact Sheet
English (USA)
Speak to our team today to see how our products transform talent strategy.
Book a Demo"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Yes,Yes,"B, P, S, A","The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.
Entry-Level,
English (USA), Latin American Spanish,
Approximate Completion Time in minutes = 43
Test Type:BPSA
Remote Testing:
Product Fact Sheet
English (USA)
Speak to our team today to see how our products transform talent strategy.
Book a Demo"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Yes,Yes,"P, S, K, B, A","The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.
Entry-Level,
English (USA),
Approximate Completion Time in minutes = 49
Test Type:PSKBA
Remote Testing:
Product Fact Sheet
English International
Speak to our team today to see how our products transform talent strategy.
Book a Demo"
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,Yes,No,"A, B, P","This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.
Front Line Manager, Manager, Supervisor,
English (USA),
Approximate Completion Time in minutes = 50
Test Type:ABP
Remote Testing:
Product Fact Sheet
English (USA)
Speak to our team today to see how our products transform talent strategy.
Book a Demo"
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,Yes,Yes,"B, A, P","The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.
Entry-Level,
English (USA),
Approximate Completion Time in minutes = 28
Test Type:BAP
Remote Testing:
Fact Sheet Cashier One Sitting_USE
English (USA)
Speak to our team today to see how our products transform talent strategy.
Book a Demo"
